spec_z,photo_z
0.65103275,0.5700000000000001
0.7252423,0.66
0.48782,0.43
0.7022,0.6
0.07508354,0.03
0.45838,0.3
0.65921,0.45
0.40028,0.31
0.07713277,0.81
0.07745717,0.49
0.39310923,0.5700000000000001
0.07857141,0.01
0.07711318,0.49
0.07638169,0.17
0.07602146,0.24
0.0774978,0.17
0.07757029,0.24
0.4641066,0.5
0.67458,0.89
0.55915,0.54
0.07721404,0.17
0.73213,0.7000000000000001
0.07667022,0.18
0.46685854,0.47
0.1273847,0.5800000000000001
1.11907,0.98
0.46365002,0.43
0.0211446279946109,0.3
0.15892945,0.26
0.3614204,0.36
0.15757231,0.26
0.020852536,0.06
0.52808607,0.38
0.68357,0.63
0.18520091,0.32
0.23049854,0.23
0.27916175,0.27
0.46609318,0.4
0.07534428,0.74
0.06262176,0.15
0.57279766,0.55
0.49646,0.47
0.36876896,0.36
0.87086,0.92
0.06299766,0.17
0.51354,0.46
0.36111706,0.37
0.13172488,0.55
0.56914,0.25
0.13136768,0.59
1.02416,0.12
0.05352214,0.41
0.06235385,0.5800000000000001
0.18978855,0.29
0.062484667,0.24
0.63999,0.49
1.18177,0.72
0.5247,0.42
0.64024,0.67
0.44136,0.44
0.54252,0.5700000000000001
0.82007,0.86
0.44486162,0.47
0.08011,0.25
0.9347,0.89
0.57976,0.11
0.61851734,0.73
0.0183,0.06
0.44242692,0.45
0.49209377,0.49
0.49306,0.42
0.1431,0.12
0.14321892,0.16
0.59012,0.14
0.04496309,0.21
0.5538,0.42
0.69096,0.7000000000000001
0.27911,0.27
0.5329909,0.66
0.44216,0.16
0.63006556,0.77
0.2855,0.43
0.0775,0.22
0.14717832,0.55
0.71786,0.8
0.1491,0.24
0.1431,0.28
0.14617,0.16
0.54658,0.28
0.46902,0.29
0.1479,0.79
0.4841,0.48
0.2259,0.0999999999999999
0.55554,0.54
0.11264145,0.23
0.0891,0.21
0.08951374,0.16
0.60985,0.55
0.14297122,0.17
0.1152,0.13
0.20545,0.24
0.0752,0.38
0.56882,0.46
0.143,0.6
0.206,0.15
0.2102,0.21
